name,address,rankingPosition,rawRanking,priceLevel,numberOfReviews,priceRange,description,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7
Carni Grill Tennoji Ekimae,"16-9 Horikoshicho, Tennouji-ku Mainichi Silver Bldg. 7F, Osaka 543-0056 Osaka Prefecture",17,4.302590370178223,$$ - $$$,57,"$4,000 - $5,000",《ガッツリお肉を食べたい方におすすめ》【jr天王寺駅徒歩2分｜各線天王寺駅徒歩5分】高級感とカジュアルが両立する立ち寄りやすいおしゃれ空間で絶品ブラジリアンシュラスコが食べ放題！味はもちろん見た目のインパクトにもこだわりました◎お肉の他にもパイナップルや野菜なども美味しくお召上がりいただけます！個室では夜景などを堪能でき特別感を演出できます。皆様のご来店心よりお待ちしております。,Japanese,Steakhouse,Barbecue,,,,,
"Kinki Daigaku Suisan Kenkyujo, Osaka","3-1 Ofukacho, Kita-ku 6f, Osaka 530-0011 Osaka Prefecture",82,3.695371389389038,$$ - $$$,162,,,Japanese,Seafood,,,,,,
Kuromon Sampei Kuromon Ichiba,"1-22-5 Nippopnbashi, Chuo-ku, Nippombashi, Chuo, Osaka 542-0073 Osaka Prefecture",2,3.7248857021331783,$$ - $$$,132,,,Japanese,Seafood,Sushi,Asian,,,,
Hakodate Kantaro Grand Front Osaka,"4-20 Ofukacho, Kita-ku Grand Front Osaka South Wing 7F, Osaka 530-0011 Osaka Prefecture",78,3.713416576385498,$$ - $$$,135,,,Japanese,Seafood,Sushi,Asian,,,,
Conveyor belt sushi CHOJIRO Hozenji Flagship Store,"1-2-10 2f, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",10,3.719990730285645,$$ - $$$,101,"$1,000 - $3,000","“Seasonal” foodstuffs created by Japan’s four seasons. CHOJIRO that values the delicate taste of seasonal foodstuffs and offers you sushi that the chef devotedly shapes one piece after another. Our shop, which delicately balances a casual atmosphere only possible in a conveyor-belt sushi with our sushi chef’s commitment to quality, is filled with the excited voices of children and their parents. The sushi chef stocks extraordinarily fresh fish and shellfish and displays his skills day after day. We offer a wide selection of your favorite sushi, tuna skewers that grilled right in our shop, and piping hot tempura, with Japanese rice wine. Please enjoy picking out the dishes you want to savor during your visit to CHOJIRO.",Japanese,Sushi,Seafood,Asian,,,,
Endo Sushi Kyobashi,"2-1-38 Higashi Nodamachi, Tsuzuki-ku Keihan Mall 5F, Osaka Osaka Prefecture",79,3.7120168209075928,$$ - $$$,207,,,Japanese,Seafood,Sushi,Asian,,,,
Fairytale CafeBar KleinPalast,"2-4-7 Nambanaka, Naniwa-Ku Baba Bldg 3F, Osaka 556-0011 Osaka Prefecture",85,3.6750643253326416,$$$$,47,"$5,000 - $20,000",大阪日本橋にある童話カフェ&バー『Klein Palast（クライン パラスト）』略して『クラパラ』 平日 17～23時 土日祝 14～23時 で営業しております。 童話の世界に迷い込んだゲスト（お客様）をコンセプトとしてコンセプトカフェです。メイドさんや男装の使用人もいます！,Cafe,Japanese,International,,,,,
Hokkyokusei Shinsaibashi Honten,"2-7-27 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",44,3.729223966598511,$$ - $$$,209,"$800 - $1,000",,Japanese,International,,,,,,
Murphy's Irish Bar,"1-5-2 Higashi-Shinsaibashi 2f, Chuo, Osaka 542-0085 Osaka Prefecture",63,3.595025062561035,$,131,"$700 - $1,000","First Irish bar in Japan. Classic food menu including fish and chips and shepherd's pie. Great selection of beer - Guinness, Kilkenny, Boddingtons, Murphy's and more. Cocktail menu. Live music events. Friendly international staff. Open from 5pm - late every night.",Irish,Bar,Pub,International,,,,
Creoru Dotonbori,"1-6-4 1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",13,3.6176393032073975,$$ - $$$,235,"$1,800 - $3,000",,Grill,,,,,,,
Naniwa no Ponchan Gyoza,"2-10-12 Daikoku, Naniwa-Ku Rabanjiru Imamiya, Osaka 556-0014 Osaka Prefecture",105,3.614774703979492,$,25,"$390 - $2,500",Ponchan dumpling is home made dumpling using 100% Japanese products. There is 4 kinds of dumplings and other side dish and many kinds of alcohol which goes well with Ponchan dumplings. You can also take away dumplings and enjoy at home.,Japanese,Japanese Fusion,,,,,,
Kogaryu Takoyaki Main Store,"2-18-4 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",61,3.609951257705689,$,143,"$800 - $1,000",This restaurant is known for its outstanding takoyaki (Octopus) snacks.,Fast Food,,,,,,,
Kobegyu Steak Ken,"2-3-5 Shinsaibashi Suji 2F Nippo Fine Plaza, Chuo, Osaka 542-0085 Osaka Prefecture",62,3.603217601776123,$$$$,71,,,Japanese,Steakhouse,Asian,Grill,,,,
El Pancho,"1-10-1 Shinsaibashisuji 8F Shinsaibashi Tower Bldg., Chuo, Osaka 542-0085 Osaka Prefecture",58,3.6353816986083984,$$ - $$$,117,,,Mexican,Vegetarian Friendly,Vegan Options,,,,,
St. Regis Bar,"3-6-12 Hommachi ST. REGIS OSAKA, Chuo, Osaka 541-0053 Osaka Prefecture",51,3.6584086418151855,$$$$,201,,"Through grand walnut doors opening from the hotel’s 12th floor lobby, The St. Regis Bar welcomes guests to an enchanting environment, unmatched in all of Osaka. Relax and enjoy handcrafted cocktails in a setting of deep turquoise paneled walls, a precious blue tiger’s eye bar, tall mirrors, and a deep corniced silver ceiling.",Bar,,,,,,,
Sushi Zanmai Dotombori-Ten,"1-7-21 Nakaza kuidaore Bldg. 1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",16,3.5403850078582764,$$ - $$$,200,,"The 1F of ""spending a lot of money on food building"" in the center of the downtown area and Dotonbori which are most in Osaka. I'll wrestle by full strength in order also to know and appreciate gusto of authentic Edo-style Sushi by service of ""SUSHIZANMAI way"" in Osaka here. Please, thank you.",Sushi,Gluten Free Options,,,,,,
Takotako King,"2-8-28 Higashishinsaibashi, Chuo, Osaka 542-0083 Osaka Prefecture",74,3.539845466613769,$$ - $$$,74,,,Japanese,Bar,Pub,,,,,
Yakiniku Jack Umeda,"2-11-kitaku-doyamacho, Kita-ku MK Beatle Bldg. 3F, Osaka 530-0027 Osaka Prefecture",95,3.654450416564941,$$ - $$$,23,"$3,000 - $4,000",【上質な焼肉食べ放題を満喫】《jr大阪駅徒歩6分｜地下鉄御堂筋線梅田駅徒歩6分》 仕入れは全国各地から厳選！見た目も、美味しさも楽しめる焼肉店♪部位ごとに仕入れを行っているため希少部位が充実しているのも特徴◎店内はシンプルながらもおしゃれを追求！落ち着いた明るさの照明が過ごしやすい空間を演出します。楽しいひと時をお過ごしください。,Barbecue,Steakhouse,,,,,,
"Melbourne Coffee, Craft & Cider","3-8-7 Minamisenba Chuo-ku Sanei Moor Building 1F, Osaka 542-0081 Osaka Prefecture",129,3.558102369308472,$,47,"$400 - $2,500","Melbourne Style Espresso Coffee & Organic Teas. Roasted in Melbourne. Alt milks. Smashed Avo and Vegemite. Unique Japanese and Australian Craft Beer, Cider, Wine & Gin. Local farmed ingredients, ethically sourced & recyclables used as standard. Vegetarian & Vegan options. Regular events and lots of local knowledge to share.",Cafe,International,Healthy,Australian,Vegan Options,,,
Restaurant Zk,"1-1-43 Abenosuji, Abeno-Ku Osaka Marriott Miyako Hotel 57F, Osaka 545-0052 Osaka Prefecture",132,3.554049015045166,$$$$,109,,,Japanese,International,Grill,,,,,
Green Earth,"4-2-2 Kita Kyuhojimachi Kyuho Bldg. 1F, Chuo, Osaka 541-0057 Osaka Prefecture",71,3.557086706161499,$$ - $$$,50,,,Healthy,Vegetarian Friendly,Vegan Options,,,,,
Dotombori Kukuru Honten,"1-10-5 Dotonbori Hakua Building 1st floor, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",15,3.557304859161377,$,156,,"Its flagship store is located in the heart of Dotombori. Kukuru is a hugely popular long-standing icon that specializes in fluffy gourmet takoyaki and Akashiyaki filled with huge pieces of octopus.
Kukuru Takoyaki:
Mellow and juicy on the inside, it is made with gourmet ingredients and large portions of tender octopus. This gives it a fluffy creamy texture, that is then topped with white wine for the ultimate umami.
The large pieces of takoyaki are filled with voluminous portions of succulent octopus and crispy fresh green onions. Savory tempura bits and sweet red pickle ginger are added to accentuate the gourmet ingredients. With flare, it is finished with a flambé sprinkling of white wine.
Voilà!",Japanese,Seafood,Fast Food,,,,,
The Lobby Lounge,"2-5-25 Umeda, Kita-ku The Ritz-Carlton, Osaka, Osaka 530-0001 Osaka Prefecture",128,3.561535120010376,$$$$,153,"$2,450 - $11,000","Enjoy this perfect place to relax with English teas, coffee, desserts and cocktails in this sophisticated Osaka lounge with live music.",Bar,Cafe,,,,,,
Moonshine Karaoke Bar,"2-12-8 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",69,3.569733142852783,$$ - $$$,80,"$700 - $1,600","Moonshine is an international karaoke bar found in the heart of Osaka. On any given night you can find a mix of expats, travellers, world roamers, and Japanese singing their hearts out to all different styles of music. We have a wide selection of alcohols and beers including many that are made only in Osaka! We have Japanese and English speaking staff. You can sing karaoke in English/Japanese/Korean and a few other languages for select songs. We are open 7 days a week and are ready for a party any night of the week. You can make a reservation or just show up ready to drink and have fun! Because we support local businesses we also suggest that after paying us a visit you can find the following bars: Mustang, Moontower, and Space Station all within one block.",Bar,Fusion,Pub,Vegetarian Friendly,,,,
Wagyu Yakiniku Nikuhachi Souemoncho,"7-17 Souemoncho Inaka Kaikan, Chuo, Osaka 542-0084 Osaka Prefecture",72,3.544221878051758,$$ - $$$,19,"$3,000 - $8,000","・Nikuhachi soemon-cho branch Location 1F,2F Inakakaikan, Soemoncho, Osaka Shi Chuo Ku, Osaka Fu, 542-0084, Japan We are open 24 hour. Available English,Chinese,vietnamese We only serve Wagyu beef Other Wagyu brand. DiDi Food Award 2020 Top 100 Restaurants Of The Year No,1 If you want to eat Wagyu in Japan, please come to Nikuhachi！！",Steakhouse,Barbecue,Asian,Grill,,,,
Kinryu Ramen Dotombori,"1-7-26, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",14,3.5781967639923096,$,330,"$800 - $1,000",,Japanese Fusion,Japanese,,,,,,
Sakae Sushi Tamayamachi,"2-27 Soemoncho, Chuo, Osaka Osaka Prefecture",66,3.5770275592803955,$$ - $$$,97,,,Japanese,Seafood,Sushi,Asian,,,,
Ramen Honolu,"2-5-27 Motomachi, Naniwa-Ku 1f, Osaka 556-0016 Osaka Prefecture",122,3.5732901096343994,$,52,,,Japanese,Asian,Halal,,,,,
Endo Sushi Chuo Ichiba,"1-1-86 Noda, Fukushima-Ku, Osaka 553-0005 Osaka Prefecture",126,3.565551280975342,$$ - $$$,156,,,Japanese,Seafood,Sushi,Asian,,,,
"Indian Curry, Sambangai","1-1-3 Shibata, Kita-Ku, Osaka 530-0012 Osaka Prefecture",115,3.581972599029541,$,147,"$800 - $1,000",,,,,,,,,
Splendido,"2-5-25 Umeda, Kita-Ku 1F The Ritz-Carlton Osaka, Osaka 530-0001 Osaka Prefecture",123,3.573039054870605,$$$$,220,"$6,500 - $19,800","All day, intimate and stylish restaurant, Splendido is the ideal destination for gourmets in search of Osaka’s most genuine, Italian experience. Savor authentic Italian cuisine with a contemporary accent accompanied by an extensive selection of delectable Italian wines in a Toscana-designed villa where brilliant art breathes. We also offer a wide variety of pizzas made by an exclusive pizza oven in the open kitchen and extensive selection of delectable Italian wines. The main dining hall, the terrace area where natural light falls, and the space reminiscent of the wine cellar of the villa, enjoy different atmospheres according to your purpose. * All seats are non-smoking.",Italian,European,Bar,Pub,Vegetarian Friendly,,,
Kame Sushi Sohonten,"2-14-2 Sonezaki, Kita-Ku, Osaka 530-0057 Osaka Prefecture",114,3.587933301925659,$$ - $$$,143,"$1,000 - $3,000",,Japanese,Sushi,,,,,,
Yukari Sonezaki,"2-14-13 Sonezaki, Kita-ku, Osaka 530-0057 Osaka Prefecture",136,3.5418455600738525,$$ - $$$,101,,,Japanese,,,,,,,
Original Pancake House Namba Parks,"2-10-70 Nanbanaka, Naniwa-ku 6F Namba Parks, Osaka 556-0011 Osaka Prefecture",111,3.593874216079712,$$ - $$$,54,"$1,000 - $3,000","The Original Pancake House was founded in Portland, Oregon in 1953 by Les Highet and Erma Hueneke. Drawing upon their many years of experience in the culinary field, and their extensive working knowledge of authentic national and ethnic pancake recipes they were able to offer without compromise this unique and original menu which has gained national acclaim. The Original Pancake House is a second",American,Cafe,Fast Food,,,,,
Torisoba Zagin Honten,"1-19-2 Edobori, Nishi-Ku, Osaka 550-0002 Osaka Prefecture",133,3.5467638969421387,$$ - $$$,55,,,,,,,,,,
Originator of Teppanyaki Steak Misono Osaka store,"1-11-19 Sonezakishinchi, Kita-Ku Star Building 3F, Osaka 530-0002 Osaka Prefecture",140,3.535452365875244,$$$$,124,"$1,050 - $23,100","In a hidden gem of Kitashinchi, relax and enjoy the steak made only from the finest national beef",Japanese,Steakhouse,Barbecue,Asian,Grill,,,
Lifix Cafe,"2-17-13 Shimanouchi, Chuo, Osaka 542-0082 Osaka Prefecture",49,3.6735706329345694,$$ - $$$,23,"$600 - $3,000",,Cafe,Fast Food,Japanese Fusion,,,,,
Ramen Kio Dotonbori,"2-2-17, Dotombori, Chuo, Osaka Osaka Prefecture",18,3.533782482147217,$$ - $$$,59,,,Japanese,Asian,Soups,,,,,
"Andrew's Eggtart, Dotombori Honten","1-10-6, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",17,3.533952474594116,$,80,"$300 - $1,000",,International,Fruit parlours,Japanese sweets parlour,,,,,
Shabutei,"1-7-2 Shibata, Osaka 530-0012 Osaka Prefecture",139,3.538717746734619,$$ - $$$,65,,,Japanese,,,,,,,
Cow Specialty Store Itamae Yakiniku Ichigyu Shinsaibashi Main Store,"Minamisennba 3-9-6, Chuo, Osaka 542-0081 Osaka Prefecture",64,3.5782124996185303,$$$$,60,"$4,500 - $5,000",,Grill,,,,,,,
Gansokushikatsu Daruma (Tsutenkaku),"1-6-8 Ebisuhigashi, Naniwa-ku, Osaka 556-0002 Osaka Prefecture",83,3.687030553817749,$$ - $$$,198,"$3,000 - $5,000",,Japanese,Asian,,,,,,
Uoshin Honten,"5-4 Doyamacho, Kita-Ku, Osaka 530-0027 Osaka Prefecture",134,3.545001745223999,$$ - $$$,101,"$800 - $1,000",,Japanese,Seafood,Sushi,Asian,,,,
40 Sky Bar & Lounge,"3-2-4 Nakanoshima, Kita-ku 40F Conrad Osaka, Osaka 530-0005 Osaka Prefecture",112,3.5904462337493896,$$$$,49,"$3,000 - $8,000",Set high above the city on the 40th floor the Sky Bar & Lounge at Conrad Osaka is a welcoming lobby space adjacent to reception with unobstructed views of the river and Osaka skyline. The lounge is connected to our all-day-dining restaurant and is a perfect space for a delicious afternoon tea with a view. Make the lobby lounge your meeting hub for a casual business discussion or for planning your day ahead with a cup of delicious coffee. Order one of our bespoke cocktails to enjoy by the bay windows or on the upper level with stunning views. This elegant and relaxing lobby lounge is truly a space which caters for all needs.,Bar,Cafe,Pub,,,,,
Popcorn Papa,"6-2-61 Shimaya, Konohana-ku Universal Citywalk Osaka 3F, Osaka 554-0024 Osaka Prefecture",89,3.6681313514709473,$$ - $$$,90,"$330 - $1,000",,,,,,,,,
Tajimaya Namba City,"5-1-60 Namba City 1F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",11,3.701308250427246,$$ - $$$,80,"$1,000 - $4,000","Our store specializes in the ""beef dishes"" which we prepare most proudly!We also serve beef shoulder rib, beef shoulder loin, pork rib, pork loin, and chicken thighs.You can enjoy five types of the meat.[Access]Nankai Main Line Namba Station 1-minute walk[Close]Irregular holidays[Cards Accepted]VISA, MasterCard, JCB, American Express, Diners Club, MUFG, UC, DC, UFJ, SAISON, APLUS, J-DEBIT",Japanese,,,,,,,
Japanese Food Restaurant Matsuri,"3-27-17 Yoshino, Fukushima-ku, Osaka 553-0006 Osaka Prefecture",120,3.576951026916504,$$ - $$$,53,"$89 - $5,000","Japanese Food Restaurant MATSURI serves halal Japanese foods! ""ALL MENU ALL HALAL"". Our menu are top dishes which foreigners want to eat in Japan. For example, Ramen, Sushi, Takoyaki, Okonomiyaki, Japanese Curry, HALAL Kobe Beef!! Also having more dishes, so please feel free to come!! There is a menu whichVegetarian, Vegan can eat!",Japanese,Asian,Vegetarian Friendly,Vegan Options,Halal,,,
Hakuundai Grand Front Osaka,"4-20 Ofukacho, Kita-ku Grand Front Osaka South Wing 7F, Osaka 530-0011 Osaka Prefecture",210,3.4398226737976074,$$ - $$$,81,"$1,000 - $30,000",,Steakhouse,Korean,Grill,Barbecue,Asian,,,
Kura Teppanyaki & Sushi,"3-2-4 Nakanoshima, Kita-Ku 40F Conrad Osaka, Osaka 530-0005 Osaka Prefecture",163,3.502917051315308,$$$$,48,"$7,000 - $18,000","Located on the 40th floor, our Japanese restaurant is well suited for the teppanyaki and sushi experience, 180 meters above the ground with breath taking views of Osaka city. Paying homage to Osaka as the 'gourmet city', the restaurant offers only the finest of Japanese produce from around the country. Enjoy a truly theatrical dining experience at KURA, where you are invited to interact with the chefs to find out more about the produce and watch them showcase their skills. The restaurant features a sushi bar, teppanyaki grill and a private chef's teppanyaki table. Inspired by traditional Japanese patterns and modern design element, the space is inviting and enjoyable, perfect for a casual dinner for two, business meetings, and special occasions. A private dining room with city views is also available.",Japanese,Sushi,Vegan Options,,,,,
Gyoza no Osho Kukosen,"9-15 Yamanoue-cho, Toyonaka 561-0892 Osaka Prefecture",3,3.500373125076294,$$ - $$$,110,,,Chinese,,,,,,,
Nurukan Sato Osaka,"4-20 Ofukacho, Kita-ku Grand Front Osaka South Bldg. 7F, Osaka 530-0011 Osaka Prefecture",165,3.500098705291748,$$ - $$$,41,,"《グランフロント大阪南館7F》ＪＲ 大阪駅 徒歩1分
11段階の「温度飲み」による日本酒の教養と奥深さを体感
【ぬる燗 佐藤 大坂】では全国各地から厳選された日本酒と、ご一緒に食べて頂きたい料理に徹底的にこだわり、おでん、お刺身、おばんさいから珍味まで、多彩にご用意いたしました。
もちろん日本酒は、個性と気分にあわせて「ぬる燗 佐藤」ならではのスタイルで、一番美味しい温度でご提供いたします。
日本酒造りのクラフトマンシップ精神を店づくりに活かし、店内を流れるBGMは日本が世界に誇る真空管アンプを通して、厳選曲をお愉しみください。
普段使いはもちろん接待・女子会・会食・デートや記念日、歓送迎会など様々なシチュエーションでお気軽にご利用くださいませ。",Japanese,Kappo,,,,,,
Oh. Lala...W Osaka,"4-1-3 Minamisemba Osaka Prefecture, Chuo, Osaka 542-0081 Osaka Prefecture",86,3.5061192512512207,$$$$,28,"$3,800 - $16,500",Savor New Brasserie Oh.lala... collaborating with a Michelin starred chef offering a variety of new dishes that pairs dynamic traditional French cuisine with Japanese ingredients and modern techniques.,French,,,,,,,
Charcoal Grill Bulls,"3 3-3 Uchikyuhojimachi, Chuo, Osaka 540-0013 Osaka Prefecture",80,3.5254757404327397,$$$$,35,"$5,000 - $7,000","""BULLS"" is a charcoal-grilled yakiniku BBQ house serving a first-class selection of delicious Black Wagyu beef at low price. We offer top-level Japanese brand beef such as Tajima, Saga and Satsuma at an unbelievably low price. Enjoy our authentic yakiniku. Reservation for lunch (minimum of 4000 yen per person)is accepted for groups of 8 or more.",Grill,,,,,,,
Toyo,"3-2-26 Higashinodamachi, Miyakojima-Ku, Osaka 534-0024 Osaka Prefecture",159,3.508639335632324,$$ - $$$,71,,,Japanese,Seafood,Sushi,Asian,,,,
Lawry's The Prime Rib Osaka,"2-2-22 Umeda, Kita-Ku 5F Herbis Plaza Ent, Osaka 530-0001 Osaka Prefecture",162,3.5030524730682373,$$$$,158,"$4,800 - $13,000",,American,Steakhouse,International,,,,,
Barbacoa Shinsaibashi,"1 -1 -10 Shinsaibashi-suji 8F Q Plaza Shinsaibashi, Chuo, Osaka 542-0085 Osaka Prefecture",85,3.5088658332824707,$$ - $$$,87,"$7,000 - $8,000",,Brazilian,Barbecue,,,,,,
Oiran de Bar Enjou,"2-6 Higashi Shinsaibashi 1F, Chuo, Osaka 542-0083 Osaka Prefecture",84,3.5103542804718018,$$ - $$$,32,"$3,500 - $5,000","Like a majestic tower, located in the middle of the red-light district in Osaka Minami . Come and enjoy the atmosphere of a mixture of traditional Edo period and the modern Japan, only to be experienced here in our flaming castle ♪ * We will offer you a free dish when presenting a screen shot of your review of us on TripAdvisor.",Japanese,Bar,Pub,,,,,
QUINTOCANTO ristorante,"3-6-32 Nakanoshima Kita-Ku Daibiru hon-kan 1F, Osaka 530-0005 Osaka Prefecture",161,3.504460573196411,$$$$,48,,"This restaurant is closed every Sunday, first and third Monday. Ristrante in Nakanoshima, Osaka, the biggest city after Tokyo. When you step into the restaurant you will find a relaxing, modern and chic space in the glittering atmosphere. It is bright space with marble. The dishes are designed to coexist with tradition and regionality of the Italian cuisine and prepared ""Cucina Creativa"" which rebuilt with chef's skill and sensibility, will serve 11 dish courses on a monthly basis. The most advanced cuisine in Italy, the origin country, now can be enjoyed in Osaka. The plates offering dishes are chosen according to the concept of dishes from Japanese representative plates such as ""Arita yaki"" or ""Kutani yaki"". With these, we will appeal the meal even more. This will change its appearance vividly. Also, we prepared natural wines from all over Italy. Please enjoy the carefully selected wine with the aroma and taste of each dish.",Italian,European,,,,,,
"Kani Douraku, Dotombori Higashi","1-1-3, Dotombori, Chuo, Osaka 542-007 Osaka Prefecture",19,3.5128421783447266,$$ - $$$,94,,,Japanese,Seafood,,,,,,
Yakiniku no Gyuta Honjin Bentencho Bay Tower,"1-2-2 Benten, Minato-ku Osaka Bay Tower East 3F, Osaka 552-0007 Osaka Prefecture",107,3.605872392654419,$$ - $$$,25,,,Japanese,Asian,Korean,,,,,
Brooklyn Roasting Company Namba,"1-1 Shikitsuhigashi Nanba Ekikan, Osaka 556-0012 Osaka Prefecture",151,3.5188777446746826,$,51,"$350 - $1,000",Brooklyn Roasitng Company Japan Roastery & Espresso Lab Our Roastery&Cafes 06-6599-9012 (cafe) 06-6599-9013 (office/wholesale info) Hours everyday: 8am-8:00pm Lo7:30pm TOKEN NY PIZZA& CRAFT BEER 06-6599-9015 Hours everyday: 11am-11:00pm Lo10:30pm,Brew Pub,Cafe,Pub,,,,,
La Golosetta,"Minamisenba, Chuo, Osaka 542-0081 Osaka Prefecture",78,3.528894662857056,$$ - $$$,44,"$1,000 - $3,000",,Italian,Pizza,Vegetarian Friendly,Vegan Options,,,,
Centrum Grill & Wine,"1-8-8 Umeda, Kita-Ku Hilton Osaka, Osaka 530-0001 Osaka Prefecture",172,3.4852235317230225,$$$$,31,"$5,500 - $20,000","A modern grill offering an outstanding selection of fine wines. The distinctive flavors of the best seasonal ingredients are brought out by a simple grilling process, enabling guests to enjoy the wonderful taste of freshly cooked aromatic dishes. A sommelier is on hand to provide expert advice for pairing wines to your chosen dishes. A private room inside the wine cellar is available for guests",Grill,Wine Bar,,,,,,
Sushi Hanazakura,"1-12-18 Oyodonaka, Kita-ku Chateau Oyodo, Osaka 531-0076 Osaka Prefecture",166,3.4945406913757324,$$ - $$$,27,,,Sushi,Japanese,Seafood,Asian,,,,
Katsukura Osaka International Airport,"3-555 Hotarugaikenishimachi Osaka International Airport 3F, Toyonaka 560-0036 Osaka Prefecture",2,3.5230987071990967,$$ - $$$,133,"$1,000 - $3,000",,Japanese,,,,,,,
Nakamuraya,"2-3-21 Tenjinbashi, Kita-ku, Osaka 530-0041 Osaka Prefecture",149,3.5260677337646484,$,83,,,,,,,,,,
"Teppan Jinja, Dotombori","1-6-4 Dotonbori Erika Bldg. B1, Dotombori, Chuo, Osaka 542-0077 Osaka Prefecture",22,3.4870684146881104,$$ - $$$,112,,,Japanese,Asian,Grill,,,,,
Miyazaki Beef Teppanyaki Steak Miyazaki-kan,"2-1-32 Shinsaibashisuji 1F IS Bldg., Chuo, Osaka 542-0085 Osaka Prefecture",79,3.527414321899414,$$$$,45,,Enjoy delicious top-quality Miyazaki beef.,Japanese,Steakhouse,,,,,,
Cocon (Wainya Cocon),"4-2-30 Chikko, Minato-ku, Osaka 552-0021 Osaka Prefecture",167,3.492745876312256,$$ - $$$,33,"$500 - $3,000",Enjoy drinking Japanese wine and sake accompanied by a variety of music. We offer unique foods arranged in the Japanese style which go great with Japanese wine and sake. Come and enjoy our unique cuisine that you cannot experience anywhere else.,Pub,Wine Bar,Japanese,Street Food,Japanese Fusion,,,
Makotoya Shinsaibashi,"2-6-16 Shinsaibashisuji, Chuo, Osaka Osaka Prefecture",77,3.531775951385498,$$ - $$$,52,$999,,Japanese,Asian,Soups,,,,,
Remone,"5-3-68 Nakanoshima, Kita-Ku Rihga Royal Hotel Osaka West Wing 1F, Osaka 530-0005 Osaka Prefecture",145,3.529916763305664,$$ - $$$,184,,,Japanese,International,Vegetarian Friendly,,,,,
Hanagatami,"2-5-25 Umeda, Kita-Ku 5F The Ritz Carlton Hotel Osaka, Osaka 530-0001 Osaka Prefecture",148,3.5263659954071045,$$$$,76,"$9,000 - $36,500","A seven-meter cypress Sushi counter overlooking a Japanese garden. Sumibiyaki fired over high-grade ubame oak charcoal from Wakayama. Find yourself enveloped in the comfort and beauty of Japanese tradition enhanced with conceptual decor whisking you away to a garden filled with a profusion of flowers. A timeless Epicurean Oasis. True to the richness of Osaka culinary culture, guests can savor in five varieties of Japanese cuisine, married perfectly with the finest alcohols. -Japanese sake and various wine and Shochu selected by the wine sommelier and Sake sommelier -Two tatami mat private dining rooms and one table private dining room -All seats are non-somking.",Japanese,Sushi,Asian,Grill,Vegetarian Friendly,,,
Kokopelli,"1-6-5 TM Bldg.1F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",13,3.514951705932617,$$ - $$$,83,$10 - $25,"We serve various authentic American Food such as Hamburgers, buffalo wings & more. To go with the great food, you have a choice of over 40 kinds of beers in bottles & 2 Domestic Craft beer on tap!!",Bar,American,Brew Pub,Pub,,,,
Cinquecento,"2-1-10 Higashi Shinsaibashi 1F ShineiP8man building, Chuo, Osaka 542-0083 Osaka Prefecture",103,3.456956624984741,$,44,"$500 - $1,000","This is the original ¥500 Martini Bar in Osaka, where it's happy hour all the time. Over 50 Martini's available along with other original cocktails, don't forget to try our ¥500 food menu also.",Bar,Pub,,,,,,
Umeda Garden Farm,"2-1-21 Umeda, Kita-Ku Rays Umeda Bldg. 9F-B, Osaka 530-0001 Osaka Prefecture",201,3.4545302391052246,,38,,,Swiss,European,,,,,,
Yakiniku (Grilled meat) House SEXMACHINE,"2-4-4, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",24,3.4647998809814453,$$ - $$$,32,,"Fusing the sensory experiences of soulful music and delightful grilled food, we fill up both the stomach and the soul.",Japanese,Barbecue,Steakhouse,,,,,
Steakhouse Juju,"2-1-7 B1 Sun Dotombori Bldg., Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",25,3.464627742767334,$$$$,38,,,Japanese,Asian,Steakhouse,,,,,
Yakiniku Nikusawa Honten,"2-chome 5-7 Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",101,3.4576001167297363,$$ - $$$,19,,,Asian,Korean,,,,,,
Ganso Kushikatsu Daruma Janjanten,"3-4-4 Ebisu-Higashi, Naniwa-Ku, Osaka 556-0002 Osaka Prefecture",188,3.466757535934448,$$ - $$$,88,,,Japanese,,,,,,,
"Takonotetsu, Maru Bldg.","1-9-20 Umeda, Kita-Ku B2F Osaka Maru Bldg., Osaka 530-0001 Osaka Prefecture",199,3.4546589851379395,$$ - $$$,107,,,Japanese,,,,,,,
